pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
0.523,0.043,-0.043,0,,,,
1.99,0.25,-0.25,0,,,,
3.4,1.2,-1.2,0,,,,
1.5,0.13,-0.13,0,,,,
1.13,0.08,-0.08,0,1.13,0.01,-0.01,0
1.54,0.08,-0.08,0,,,,0
0.06,0.0076,-0.0076,0,,,,
1.94,0.08,-0.08,0,,,,0
3.1,,,0,,,,
8.52,0.63,-0.63,0,,,,
0.56,0.05,-0.05,0,,,,0
0.0532,0.0028,-0.0028,0,,,,
0.076,0.016,-0.016,0,,,,
2.096,0.093,-0.093,0,,,,
3.98,0.17,-0.17,0,,,,0
3.18,0.3,-0.3,0,,,,0
6.9,3.9,-1.1,0,,,,
2.58,0.16,-0.16,0,,,,
0.79,0.05,-0.05,0,,,,0
1.37,0.12,-0.12,0,,,,
0.0367,0.0033,-0.0033,0,,,,0
0.0454,0.0046,-0.0044,0,,,,0
1.599,0.067,-0.067,0,,,,
1.214,0.072,-0.072,0,,,,
17.9,2.9,-1.8,0,,,,0
1.996,0.22,-0.1,-1,,,,0
1.864,0.177,-0.227,-1,,,,0
1.017,0.07,-0.068,0,1.545,0.052,-0.06,0
24.09,8.379,-11.521,0,,,,
7.8,1.1,-1.1,0,,,,0
6.29,1.16,-1.16,0,,,,0
3.46,0.21,-0.21,0,,,,0
0.0553,0.0053,-0.0053,0,,,,
0.23,0.03,-0.03,0,,,,0
1.37,0.07,-0.09,0,,,,
0.1076,0.02234,-0.02234,0,,,,0
2.036,0.065,-0.065,0,,,,
0.0061,0.0012,-0.0011,0,,,,0
0.0168,0.0022,-0.0021,0,,,,0
0.0334,0.0038,-0.0037,0,,,,0
0.0442,0.0049,-0.0049,0,,,,0
1.4878,0.1045,-0.1066,0,,,,0
0.56,0.091,-0.091,0,,,,0
0.73,0.18,-0.05,0,,,,
0.0085,0.0009,-0.0009,0,,,,
0.0076,0.0013,-0.0013,0,,,,
0.015,0.002,-0.002,0,,,,
0.01501,0.00302,-0.00271,0,,,,
0.52,0.082,-0.082,0,,,,
9.9,1.7,-1.7,0,,,,
1.25,0.59,-0.59,0,,,,0
1.4,0.08,-0.08,0,,,,0
0.73,0.04,-0.04,0,1.39,0.02,-0.02,0
0.4817,0.07331,-0.07331,0,,,,0
1.29,0.05,-0.05,0,,,,0
1.808,0.097,-0.097,0,,,,
0.67,0.44,-0.44,0,,,,0
0.0409,0.00787,-0.00787,0,,,,0
0.51,0.04,-0.04,0,,,,0
2.39,0.27,-0.27,0,,,,
5.58,0.31,-0.31,0,,,,0
0.20734,0.08055,-0.08055,0,,,,0
20.3,2.6,-2.6,0,,,,0
0.00572,0.00158,-0.00198,0,,,,0
0.00541,0.00194,-0.00228,0,,,,0
0.00881,0.00255,-0.0029,0,,,,0
0.00905,0.00334,-0.00466,0,,,,0
0.02,0.01,-0.01,0,,,,0
0.33,,,0,,,,
1.26,0.13,-0.13,0,,,,
1.82,,,0,,,,
